"Var1" "Freq" "Porc"
"314" "School - PS 215 Morris H Weiss" 11 1.09865305135903e-06
"315" "School - PS 217 Colonel David Marcus School" 11 1.09865305135903e-06
"316" "School - PS 22 Graniteville" 11 1.09865305135903e-06
"317" "School - PS 234 Independence School" 11 1.09865305135903e-06
"318" "School - PS 262 El Hajj Malik El Shabazz Elementary School" 11 1.09865305135903e-06
"319" "School - PS 288 The Shirley Tanyhill" 11 1.09865305135903e-06
"320" "School - PS 377 Alejandrina B De Gautier" 11 1.09865305135903e-06
"321" "School - PS 42 Eltingville" 11 1.09865305135903e-06
"322" "School - PS 54 Charles W Leng" 11 1.09865305135903e-06
"323" "School - PS 63 Author's Academy" 11 1.09865305135903e-06
"324" "School - PS 79 Francis Lewis" 11 1.09865305135903e-06
"325" "School - PS 80 Thurgood Marshall Magnet" 11 1.09865305135903e-06
"326" "School - PS 84 Lillian Weber" 11 1.09865305135903e-06
"327" "School - PS 91 The Albany Avenue School" 11 1.09865305135903e-06
"328" "School - PS-IS 208" 11 1.09865305135903e-06
"329" "School - Unity Center for Urban Technologies" 11 1.09865305135903e-06
"330" "School - William Cullen Bryant High School" 11 1.09865305135903e-06
"331" "CCRB" 10 9.98775501235485e-07
"332" "DCA" 10 9.98775501235485e-07
"333" "LAW" 10 9.98775501235485e-07
"334" "School - Academy of Urban Planning" 10 9.98775501235485e-07
"335" "School - Albert Shanker School for Visual and Performing Arts" 10 9.98775501235485e-07
"336" "School - Boys and Girls High School" 10 9.98775501235485e-07
"337" "School - Forest Hills High School" 10 9.98775501235485e-07
"338" "School - Harry S Truman High School" 10 9.98775501235485e-07
"339" "School - High School for Violin and Dance" 10 9.98775501235485e-07
"340" "School - IS 218 Salome Urena" 10 9.98775501235485e-07
"341" "School - IS 230" 10 9.98775501235485e-07
"342" "School - JHS 190 Russell Sage" 10 9.98775501235485e-07
"343" "School - JHS 201 The Dyker Heights" 10 9.98775501235485e-07
"344" "School - JHS 217 Robert A Van Wyck" 10 9.98775501235485e-07
"345" "School - JHS 234 Arthur W Cunningham" 10 9.98775501235485e-07
"346" "School - JHS 8 Richard S Grossley" 10 9.98775501235485e-07
"347" "School - John Bowne High School" 10 9.98775501235485e-07
"348" "School - NYC Lab Middle School for Collaborative Studies" 10 9.98775501235485e-07
"349" "School - Park East High School" 10 9.98775501235485e-07
"350" "School - PS 116 Mary Lindley Murray" 10 9.98775501235485e-07
"351" "School - PS 132 Juan Pablo Duarte" 10 9.98775501235485e-07
